epoch,train_loss,map_50,map_50_95,person_ap,head_ap,helmet_ap,lr
1,0.32859875158202356,0.6369448900222778,0.39796167612075806,0.013034745119512081,0.5646405220031738,0.6162096858024597,0.005
2,0.2590274326230695,0.635604739189148,0.4048716425895691,0.013100638054311275,0.5771200060844421,0.6243942975997925,0.005
3,0.24615005194323092,0.6439968943595886,0.41162681579589844,0.015138649381697178,0.5849623680114746,0.6347793936729431,0.005
4,0.23557416483214716,0.643426239490509,0.4142223000526428,0.01552360225468874,0.5944823026657104,0.632660984992981,0.005
5,0.22869791354893185,0.6441162824630737,0.41815635561943054,0.01474202424287796,0.5987045168876648,0.6410225033760071,0.005
6,0.22369462873604967,0.6460549831390381,0.4143015742301941,0.014926603995263577,0.5937392711639404,0.6342388391494751,0.005
7,0.2201705507752372,0.6468822360038757,0.41869157552719116,0.015609773807227612,0.6025742292404175,0.637890636920929,0.005
8,0.21668320041058994,0.6473389863967896,0.4217199683189392,0.016124239191412926,0.610116183757782,0.638919472694397,0.005
9,0.21127656553758353,0.647368311882019,0.42368611693382263,0.0169270820915699,0.6123400330543518,0.6417912840843201,0.005
10,0.2089146206973166,0.647112250328064,0.420370876789093,0.014639640226960182,0.6118353605270386,0.6346375942230225,0.005
11,0.20578885133400923,0.6449032425880432,0.4076305627822876,0.017044732347130775,0.6067590117454529,0.5990879535675049,0.005
12,0.20326137716268622,0.6448655724525452,0.42462050914764404,0.01377923134714365,0.6151303648948669,0.6449519395828247,0.005
13,0.20018047404634517,0.6462315320968628,0.42203107476234436,0.013554400764405727,0.6104384064674377,0.64210045337677,0.005
14,0.1978795620726376,0.6469209790229797,0.4267718493938446,0.014937076717615128,0.6227547526359558,0.6426236629486084,0.005
15,0.19583033801215452,0.6462933421134949,0.424386203289032,0.013469654135406017,0.6189160346984863,0.6407729387283325,0.005
16,0.1927010148945378,0.6444918513298035,0.4193020164966583,0.009826495312154293,0.6179261207580566,0.630153477191925,0.0005
17,0.17968886776304827,0.6482443809509277,0.4302963316440582,0.015717322006821632,0.6250189542770386,0.6501526832580566,0.0005
18,0.17675315484222842,0.647465169429779,0.430685430765152,0.01503326278179884,0.6278676390647888,0.6491554379463196,0.0005
19,0.17518702345196066,0.6476917266845703,0.43189525604248047,0.01549785677343607,0.6297193169593811,0.6504685878753662,0.0005
20,0.174931988238198,0.6479172706604004,0.4318898320198059,0.015222105197608471,0.6302527785301208,0.6501945853233337,0.0005
21,0.17492098070953677,0.6475470066070557,0.4315071702003479,0.014889700338244438,0.6293421387672424,0.6502897143363953,0.0005
22,0.1740337051405776,0.6483768224716187,0.4320659339427948,0.015847282484173775,0.6291323304176331,0.6512181162834167,0.0005
23,0.17336389790856985,0.6476417183876038,0.43129846453666687,0.014773921109735966,0.628838300704956,0.65028315782547,0.0005
24,0.17281182915790053,0.6475809812545776,0.43009069561958313,0.01449577882885933,0.6288547515869141,0.6469215750694275,0.0005
